Title,DOI,LatH,LatM,LatS,Dir,decimalLatitude,LonH,LonM,LonS,Dir,decimalLongitude,Depth,Date
"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico [Asociación a sustratos de los erizos regulares (Echinodermata: Echinoidea) en la laguna arrecifal de Isla Verde, Veracruz, México]",https://www.researchgate.net/publication/287941820_Regular_sea_urchins_substrate_association_Echinodermata_Echinoidea_on_Isla_Verde_lagoon_reef_Veracruz_Mexico,19,12,,N,19.2,96,4,5,W,-96.06805556,,
Differences in ion regulation in the sea urchins Lytechinus variegatus and Arbacia lixula (Echinodermata: Echinoidea),10.1017/S0025315407054124,25,33,,S,-25.55,48,23,,W,-48.38333333,,
"Development, survival and growth of sea urchin Lytechinus variegatus (Lamarck, 1816) (Echinodermata: Echinoidea) fed on microalgae at two different salinities and temperatures [Desarrollo, supervivencia y crecimiento del erizo Lytechinus variegatus(Lamarck, 1816) (Echinodermata: Echinoidea) alimentado con microalgas a dos salinidades y temperaturas diferentes]",https://www.researchgate.net/publication/289151589_Development_survival_and_growth_of_sea_urchin_Lytechinus_variegatus_Lamarck_1816_Echinodermata_Echinoidea_fed_on_microalgae_at_two_different_salinities_and_temperatures,10,89,,N,11.48333333,64,89,,W,-65.48333333,,
Effect of temperature on gamete production and biochemical composition of gonads in the sea urchin Lytechinus variegatus,10.18785/goms.2502.03,30,,,N,30,85.5,,,W,-85.5,,
Diets and coexistence of the sea urchins Lytechinus variegatus and Arbacia punctulata (Echinodermata) along the central Florida gulf coast,10.3354/meps295171,28,8.56,,N,28.14266667,83,8.82,17.7,W,-83.15191667,17.7,
Diets and coexistence of the sea urchins Lytechinus variegatus and Arbacia punctulata (Echinodermata) along the central Florida gulf coast,10.3354/meps295172,28,7.56,,N,28.126,82,59.7,11.9,W,-82.99830556,11.9,
Diets and coexistence of the sea urchins Lytechinus variegatus and Arbacia punctulata (Echinodermata) along the central Florida gulf coast,10.3354/meps295173,28,7.45,,N,28.12416667,82,59.7,11.9,W,-82.99830556,11.9,
Diets and coexistence of the sea urchins Lytechinus variegatus and Arbacia punctulata (Echinodermata) along the central Florida gulf coast,10.3354/meps295174,27,4,,N,27.06666667,82,27,,W,-82.45,5.8,
"Reproductive cycle of Lytechinus variegatus (Echinoidea: Toxopneustidae) in the south of Margarita Island, Venezuela [Ciclo reproductivo de Lytechinus variegatus (Echinoidea: Toxopneustidae) en el sur de isla Margarita, Venezuela.]",https://www.researchgate.net/publication/6361240_Reproductive_cycle_of_Lytechinus_variegatus_Echinoidea_Toxopneustidae_in_the_south_of_Margarita_Island_Venezuela,10,57,13,N,10.95361111,64,10,55,W,-64.18194444,,
"Reproductive cycle of Lytechinus variegatus (Echinoidea: Toxopneustidae) in the south of Margarita Island, Venezuela [Ciclo reproductivo de Lytechinus variegatus (Echinoidea: Toxopneustidae) en el sur de isla Margarita, Venezuela.]",https://www.researchgate.net/publication/6361240_Reproductive_cycle_of_Lytechinus_variegatus_Echinoidea_Toxopneustidae_in_the_south_of_Margarita_Island_Venezuela,10,55,33,N,10.92583333,60,7,7,W,-60.11861111,,
Growth bands in test plates of the sea urchins Arbacia punctulata and Lytechinus variegatus (Echinodermata) on the central Florida Gulf Coast shelf,10.18785/goms.2201.09,27,38,,N,27.63333333,82,43,,W,-82.71666667,5,
The Effect of Dietary Carotenoids on Gonad Production and Carotenoid Profiles in the Sea Urchin Lytechinus variegatus,10.1111/j.1749-7345.2002.tb00487.x,27,37,,N,27.61666667,82,44,,W,-82.73333333,,
"Foret T.W., Lawrence J.M.",Variation in abundance of subcuticular bacteria in Florida echinoderms,27,6,,N,27.1,82,27.5,,W,-82.45833333,,10-12/1997
"Foret T.W., Lawrence J.M.",Variation in abundance of subcuticular bacteria in Florida echinoderms,27,34.3,,N,27.57166667,82,49.3,,W,-82.82166667,,02/1998
"Benthic communities associated to Thalassia testudinum (Hydrocharitaceae) at three localities of Morrocoy National Park, Venezuela",https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77441999000300018&lng=en&nrm=iso&tlng=en,10,52,,N,10.86666667,68,16,,W,-68.26666667,,
Avoiding predation: alarm responses of Caribbean sea urchins to simulated predation on conspecific and heterospecific sea urchins,10.1007/BF00508257,9,33,14,N,9.553888889,78,55,23,W,-78.92305556,,10/1984 07-12/1985
